audio_recv_bitsReceivedPerSecond,0.0,22383.202099737533,26819.04761904762,26664.0,26624.0,26752.0,26824.0,26560.0,26224.0,27208.0,26344.0,27536.0,27120.0,26504.0,27032.0,26224.0,26792.0,24864.0,6640.0,27352.0,42840.0,42136.0,7278.121137206428,8000.0,8000.0,8000.0,8000.0,8000.0,7984.031936127744,8000.0,8016.032064128257,7992.007992007992,8008.008008008008,8000.0,7984.031936127744,8016.032064128257,8000.0,7992.007992007992,8000.0,5000.0,7968.0,8000.0,8000.0,8000.0
audio_recv_packetsReceivedPerSecond,0.0,41.99475065616798,50.0,50.0,50.0,50.0,50.0,50.0,49.0,51.0,49.0,51.0,50.0,50.0,50.0,49.0,50.0,46.0,8.0,33.0,51.0,50.0,7.416563658838072,8.0,8.0,8.0,8.0,8.0,7.984031936127744,8.0,8.016032064128256,7.992007992007992,8.008008008008009,8.0,7.984031936127744,8.016032064128256,8.0,7.992007992007992,8.0,5.0,8.0,8.0,8.0,8.0
audio_recv_googCurrentDelayMs,113.0,144.0,233.0,344.0,329.0,328.0,327.0,333.0,332.0,218.0,123.0,68.0,68.0,68.0,68.0,67.0,67.0,61.0,34.0,120.0,246.0,362.0,43.0,46.0,44.0,38.0,42.0,41.0,44.0,44.0,47.0,40.0,50.0,50.0,42.0,41.0,47.0,47.0,44.0,46.0,36.0,39.0,32.0,38.0
audio_recv_googJitterBufferMs,93.0,62.0,205.0,319.0,322.0,322.0,322.0,325.0,305.0,199.0,81.0,53.0,53.0,53.0,53.0,33.0,33.0,12.0,3.0,88.0,233.0,343.0,7.0,10.0,10.0,3.0,6.0,5.0,8.0,7.0,11.0,4.0,7.0,10.0,3.0,4.0,10.0,10.0,7.0,8.0,5.0,8.0,1.0,9.0
audio_recv_googJitterReceived,7.0,7.0,7.0,7.0,7.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,24.0,24.0,24.0,24.0,111.0,111.0,111.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,97.0,97.0,97.0,96.0,96.0,96.0,96.0,96.0,96.0
audio_recv_googPreferredJitterBufferMs,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0
video_recv_bitsReceivedPerSecond,0.0,1104272.965879265,1011752.380952381,1040024.0,1027208.0,1008440.0,980480.0,952848.0,893888.0,931680.0,929520.0,947168.0,893152.0,934240.0,919320.0,970352.0,952160.0,905608.0,916352.0,907408.0,942640.0,923192.0,1071278.1211372064,1032752.0,966536.0,992968.0,1007152.0,1012904.0,937445.1097804392,976096.0,907038.0761523047,914709.2907092907,961337.3373373373,919624.0,874698.6027944111,944144.2885771543,932256.0,966425.5744255744,906832.0,970080.0,910608.0,901160.0,966352.0,916960.0
video_recv_packetsReceivedPerSecond,0.0,139.9825021872266,132.14285714285714,135.0,132.0,132.0,131.0,131.0,118.0,123.0,122.0,133.0,118.0,120.0,118.0,124.0,124.0,122.0,124.0,121.0,127.0,124.0,138.442521631644,137.0,130.0,129.0,133.0,129.0,122.75449101796407,128.0,120.24048096192385,122.87712287712287,128.12812812812814,123.0,115.76846307385229,124.24849699398797,120.0,124.87512487512487,121.0,129.0,124.0,121.0,129.0,123.0
video_recv_googCurrentDelayMs,79.0,81.0,81.0,81.0,79.0,77.0,75.0,74.0,72.0,70.0,68.0,68.0,67.0,67.0,66.0,66.0,66.0,66.0,65.0,65.0,65.0,65.0,82.0,80.0,79.0,78.0,76.0,74.0,73.0,71.0,69.0,67.0,66.0,66.0,66.0,65.0,65.0,64.0,64.0,63.0,64.0,62.0,61.0,63.0
video_recv_googDecodeMs,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0
