audio_send_googRtt_1234617397,31.0,31.0,31.0,31.0,31.0,31.0,430.0,430.0,430.0,430.0,30.0,30.0,30.0,30.0,30.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,30.0,30.0,30.0,30.0,30.0,30.0,31.0,31.0,31.0,31.0,31.0,37.0,37.0,37.0,37.0,37.0,37.0,257.0,257.0,257.0,257.0,257.0,257.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
video_send_bitsSentPerSecond_306054083,96632.0,100936.0,80352.0,61088.0,65128.0,70528.0,82728.0,92584.0,89912.0,113920.0,96264.0,87440.0,114160.0,102272.0,116136.0,105528.0,131784.0,129696.0,108352.0,123664.0,140616.0,117576.0,129776.0,150528.0,152000.0,166048.0,189448.0,152208.0,136360.0,155672.0,141776.0,147072.0,180720.0,181656.0,190568.0,186064.0,218672.0,220976.0,262864.0,378216.0,200224.0,293592.0,261336.0,171032.0,183272.0,191440.0,214280.0,219720.0,269232.0,289264.0,289848.0,291272.0,338496.0,340464.0,323568.0,332352.0,379208.0,235040.0,173160.0,215136.0
video_send_packetsLost_306054083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
video_send_packetsSentPerSecond_306054083,41.0,52.0,39.0,13.0,19.0,46.0,58.0,59.0,50.0,55.0,40.0,41.0,57.0,31.0,53.0,60.0,61.0,59.0,60.0,61.0,48.0,60.0,60.0,59.0,60.0,61.0,60.0,60.0,59.0,63.0,60.0,59.0,61.0,60.0,60.0,59.0,61.0,60.0,101.0,109.0,63.0,109.0,73.0,60.0,60.0,60.0,60.0,61.0,105.0,96.0,77.0,135.0,94.0,101.0,115.0,122.0,120.0,77.0,60.0,61.0
video_send_googEncodeUsagePercent_306054083,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,13.0,15.0,16.0,18.0,17.0,16.0
video_send_googFrameHeightSent_306054083,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,180.0,180.0,180.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0
video_send_googFrameRateSent_306054083,41.0,52.0,40.0,12.0,19.0,47.0,58.0,60.0,50.0,56.0,40.0,43.0,56.0,33.0,53.0,61.0,60.0,60.0,60.0,60.0,48.0,59.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,61.0,61.0,61.0,61.0,60.0,60.0
video_send_googFrameWidthSent_306054083,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,640.0,640.0,640.0,640.0,640.0,640.0,640.0,640.0,320.0,320.0,320.0,640.0,640.0,640.0,640.0,640.0,640.0,640.0,640.0,640.0,640.0
video_send_googRtt_306054083,17.0,17.0,16.0,17.0,42.0,35.0,29.0,66.0,51.0,40.0,73.0,55.0,44.0,35.0,30.0,27.0,23.0,22.0,33.0,27.0,23.0,22.0,21.0,19.0,19.0,19.0,17.0,18.0,18.0,21.0,22.0,22.0,19.0,20.0,23.0,23.0,20.0,20.0,20.0,20.0,21.0,29.0,43.0,34.0,126.0,116.0,122.0,114.0,84.0,63.0,72.0,74.0,57.0,51.0,41.0,35.0,31.0,28.0,53.0,78.0
audio_recv_bitsReceivedPerSecond_2844916320,26864.0,27056.0,26584.0,26616.0,26496.0,20336.0,22328.0,26920.0,26888.0,26184.0,26856.0,25792.0,26912.0,27472.0,26688.0,26288.0,20440.0,16336.0,21856.0,26528.0,26136.0,21088.0,30920.0,25408.0,25624.0,27032.0,26352.0,26000.0,25880.0,26048.0,26648.0,25960.0,26480.0,25088.0,28096.0,20944.0,30992.0,25456.0,20216.0,26336.0,26232.0,26184.0,26496.0,26264.0,26376.0,26472.0,26336.0,25848.0,24936.0,26024.0,26096.0,17664.0,25512.0,23704.0,25968.0,26960.0,26520.0,26632.0,26944.0,26384.0
audio_recv_packetsReceivedPerSecond_2844916320,50.0,50.0,50.0,50.0,50.0,38.0,41.0,50.0,50.0,50.0,50.0,49.0,51.0,50.0,50.0,50.0,38.0,30.0,41.0,50.0,49.0,40.0,61.0,50.0,49.0,51.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,47.0,53.0,39.0,61.0,50.0,37.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,49.0,51.0,50.0,32.0,48.0,44.0,50.0,50.0,50.0,50.0,50.0,50.0
audio_recv_googCurrentDelayMs_2844916320,67.0,257.0,234.0,234.0,234.0,169.0,143.0,212.0,203.0,213.0,215.0,215.0,215.0,215.0,214.0,215.0,156.0,90.0,120.0,278.0,359.0,310.0,410.0,449.0,454.0,454.0,454.0,454.0,454.0,454.0,454.0,454.0,454.0,447.0,454.0,368.0,334.0,332.0,153.0,147.0,132.0,151.0,150.0,117.0,59.0,57.0,59.0,47.0,45.0,55.0,52.0,31.0,197.0,181.0,177.0,170.0,170.0,168.0,53.0,54.0
