video_recv_bitsReceivedPerSecond_310993968,0.0,167734.62002412544,151701.86335403725,154869.13086913087,168472.0,163768.0,173994.005994006,154642.64264264263,173568.0,163256.0,162424.0,169192.0,161040.0,152368.0,172800.0,162112.0,173136.0,159904.0,174232.0,158656.0,160696.0,170616.0,159416.0,154360.0,170112.0,163400.0,172544.0,159696.0,173256.0,160952.0,158736.0,172072.0,160192.0,154381.61838161838,170098.0980980981,163584.0,171840.0,160592.0,172531.46853146853,154896.0,155048.0,254888.0,154488.0,154554.55455455455,169520.0,163072.0,173920.0,159472.0,171344.0,160928.0,157624.0,174760.0,161832.0,152984.0,168280.0,164384.0,173160.0,159848.0
video_recv_packetsReceivedPerSecond_310993968,0.0,59.71049457177322,62.11180124223603,59.94005994005994,60.0,60.0,59.94005994005994,59.05905905905906,61.0,61.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,62.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,61.0,60.0,60.0,60.0,60.0,59.94005994005994,60.06006006006006,60.0,60.0,60.0,61.938061938061935,59.0,59.0,72.0,60.0,60.06006006006006,60.0,60.0,60.0,60.0,61.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
video_recv_googCurrentDelayMs_310993968,85.0,85.0,85.0,85.0,85.0,85.0,85.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,82.0,82.0,82.0,82.0,82.0,81.0,81.0,81.0,81.0,81.0,74.0,74.0,74.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,72.0,72.0,72.0,72.0,72.0,71.0,71.0
video_recv_googDecodeMs_310993968,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
video_recv_googFrameHeightReceived_310993968,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0
video_recv_googFrameRateOutput_310993968,60.0,61.0,60.0,60.0,60.0,60.0,61.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,61.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,50.0,60.0,60.0,61.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,57.0,59.0,58.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,61.0,60.0,60.0,60.0,60.0
video_recv_googFrameRateReceived_310993968,59.0,59.0,60.0,60.0,60.0,60.0,60.0,60.0,59.0,61.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,48.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,56.0,59.0,61.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
video_recv_googFrameWidthReceived_310993968,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0
video_recv_googInterframeDelayMax_310993968,20.0,18.0,18.0,18.0,18.0,19.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,20.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,209.0,18.0,18.0,18.0,18.0,18.0,18.0,22.0,18.0,18.0,18.0,20.0,85.0,41.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,22.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
video_recv_googJitterBufferMs_310993968,74.0,74.0,74.0,74.0,74.0,74.0,74.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,71.0,71.0,71.0,71.0,71.0,70.0,70.0,70.0,70.0,70.0,63.0,63.0,63.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,61.0,61.0,61.0,61.0,61.0,60.0,60.0
