audio_recv_bitsReceivedPerSecond_2236786148,43680.0,42042.04204204204,41958.041958041955,42000.0,42000.0,42042.04204204204,41958.041958041955,42000.0,42000.0,42000.0,42000.0,42000.0,42000.0,42000.0,42000.0,42000.0,42000.0,42000.0,42000.0,42000.0,42000.0,42000.0,42000.0,42000.0,42000.0,42000.0,42000.0,42000.0,42000.0,42000.0,42000.0,42000.0,42000.0,42000.0,30256.0,42000.0,42000.0,42000.0,42000.0,42000.0,42000.0,42000.0,42000.0,42000.0,39280.0,42000.0,42000.0,42000.0,42000.0,42000.0,42000.0,42000.0,42000.0,42000.0,42000.0,42000.0,42000.0,42000.0,42000.0,42000.0,42042.04204204204
audio_recv_packetsReceivedPerSecond_2236786148,52.0,50.050050050050054,49.95004995004995,50.0,50.0,50.050050050050054,49.95004995004995,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,36.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,46.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.050050050050054
audio_recv_googCurrentDelayMs_2236786148,271.0,282.0,284.0,285.0,285.0,285.0,285.0,283.0,282.0,285.0,247.0,278.0,282.0,282.0,282.0,283.0,283.0,283.0,282.0,283.0,213.0,236.0,206.0,206.0,207.0,207.0,206.0,206.0,203.0,204.0,147.0,171.0,167.0,167.0,93.0,86.0,82.0,82.0,81.0,81.0,80.0,80.0,80.0,219.0,213.0,199.0,237.0,246.0,246.0,245.0,246.0,246.0,246.0,246.0,246.0,245.0,229.0,236.0,240.0,246.0,208.0
audio_recv_googJitterBufferMs_2236786148,268.0,268.0,268.0,268.0,268.0,268.0,268.0,268.0,268.0,268.0,268.0,268.0,268.0,268.0,268.0,268.0,268.0,268.0,268.0,268.0,244.0,206.0,189.0,189.0,189.0,189.0,189.0,189.0,189.0,189.0,180.0,163.0,149.0,149.0,23.0,55.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,259.0,179.0,237.0,229.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,236.0
audio_recv_googJitterReceived_2236786148,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0
audio_recv_googPreferredJitterBufferMs_2236786148,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,160.0,160.0,160.0,160.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0
video_recv_bitsReceivedPerSecond_3666705939,169584.0,170442.44244244244,160575.42457542458,153768.0,167312.0,166310.3103103103,171652.34765234764,174168.0,161784.0,158512.0,159880.0,170832.0,163808.0,151824.0,169504.0,164576.0,172320.0,163976.0,169464.0,158176.0,164616.0,167568.0,162944.0,154104.0,167168.0,162008.0,176312.0,162472.0,169312.0,158840.0,161448.0,227112.0,149032.0,137984.0,160992.0,161480.0,175864.0,155040.0,180360.0,159816.0,160368.0,172680.0,159472.0,153736.0,167600.0,162360.0,174752.0,158464.0,179800.0,158040.0,160224.0,170728.0,158848.0,154392.0,168224.0,161848.0,174696.0,159640.0,175768.0,159032.0,158326.32632632632
video_recv_packetsReceivedPerSecond_3666705939,63.0,60.06006006006006,59.94005994005994,60.0,60.0,60.06006006006006,59.94005994005994,62.0,60.0,61.0,58.0,60.0,61.0,59.0,61.0,59.0,60.0,61.0,61.0,59.0,61.0,59.0,61.0,60.0,60.0,59.0,61.0,59.0,62.0,60.0,60.0,66.0,59.0,60.0,60.0,60.0,60.0,59.0,63.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,63.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,62.0,60.0,60.06006006006006
video_recv_googCurrentDelayMs_3666705939,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,59.0,60.0,60.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,58.0,58.0,58.0,58.0,58.0,57.0,57.0,57.0,57.0,57.0,57.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0
video_recv_googDecodeMs_3666705939,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
