audio_send_packetsSentPerSecond,49.95004995004995,50.0,50.0,50.0,50.0,50.050050050050054,49.95004995004995,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,50.505050505050505,50.0,50.0,51.0,49.0,51.0,50.0,50.0,49.0,50.0,50.0,51.0,48.95104895104895,51.0,49.95004995004995,50.0,50.050050050050054,50.0
audio_send_googJitterReceived,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,7.0,7.0,7.0,7.0,7.0,115.0,115.0,100.0,100.0,100.0,100.0,100.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,98.0,98.0,98.0,98.0,98.0
audio_send_googRtt,34.0,34.0,34.0,63.0,63.0,63.0,63.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,31.0,31.0,31.0,31.0,31.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
video_send_bitsSentPerSecond,281782.2177822178,342224.0,209104.0,348224.0,193424.0,271647.64764764765,166553.44655344656,163664.0,188536.0,197160.0,222968.0,194176.0,228336.0,275632.0,334416.0,222384.0,158360.0,159432.0,99632.0,0.0,111967.67676767676,89480.0,102936.0,134464.0,122016.0,151304.0,142288.0,132728.0,142488.0,123000.0,105672.0,102712.0,121310.68931068931,149080.0,136887.1128871129,177192.0,178794.79479479478,177088.0
video_send_packetsLost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
video_send_packetsSentPerSecond,90.9090909090909,98.0,81.0,122.0,67.0,92.09209209209209,59.94005994005994,60.0,60.0,60.0,60.0,60.0,65.0,100.0,107.0,63.0,60.0,54.0,52.0,0.0,45.45454545454545,59.0,60.0,60.0,60.0,61.0,60.0,60.0,59.0,51.0,50.0,60.0,59.94005994005994,60.0,59.94005994005994,62.0,60.06006006006006,60.0
video_send_googEncodeUsagePercent,13.0,13.0,12.0,12.0,12.0,11.0,11.0,11.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,14.0,14.0,13.0,12.0,12.0,11.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
video_send_googFrameHeightSent,180.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,180.0,180.0,180.0,180.0,180.0,180.0,360.0,360.0,360.0,360.0,360.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0
video_send_googFrameRateSent,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,54.0,52.0,24.0,45.0,60.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,51.0,50.0,61.0,60.0,60.0,60.0,60.0,60.0,60.0
video_send_googFrameWidthSent,320.0,640.0,640.0,640.0,640.0,640.0,640.0,640.0,320.0,320.0,320.0,320.0,320.0,320.0,640.0,640.0,640.0,640.0,640.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0
