video_recv_googPlisSent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
video_send_resolutionChangesSent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
video_recv_resolutionChangesReceived,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_way_delay_audio_send,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,8.0,8.0,8.0
1_way_delay_video_send,8.0,8.0,8.0,7.5,7.0,7.0,7.5,7.5,8.0,8.0,9.5,9.5,9.0,8.5,8.0,8.0,8.0,7.5,8.0,7.5
ear_ear_delay_audio_send,356.5,336.5,345.5,338.5,347.5,347.5,353.5,356.5,356.5,366.5,48.5,26.5,106.5,88.5,12.5,8.5,31.5,9.0,10.0,11.0
audio_recv_kbitsReceivedPerSecond,0,20,24,20,20,16,9,10,11,10,41,39,41,40,40,41,41,41,41,41
video_recv_kbitsReceivedPerSecond,0,995,942,1017,944,1033,956,966,881,896,938,1041,1010,955,1011,971,954,994,859,884
audio_packet_loss_percentage_send,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e_model_audio_send,65.932,68.612,67.406,68.344,67.138,67.138,66.334,65.932,65.932,93.036,93.56400000000001,91.644,92.07600000000001,93.9,93.99600000000001,93.444,93.98400000000001,93.96000000000001
kpi_audio_synchronization,3.4008900202170245,3.531247227901504,3.4731084896040887,3.518405571558912,3.4600694339754963,3.4600694339754963,3.420705641286072,3.4008900202170245,3.4008900202170245,4.406088796105408,4.416220494188992,4.377165790194112,4.386480842815169,4.422423067,4.424159970336449,4.413958977013312,4.423943717404673,4.423510474048
eye_eye_delay_video_send,43.0,43.0,43.0,42.5,42.0,42.0,42.5,42.5,43.0,43.0,45.5,46.5,46.0,45.5,45.0,45.0,44.0,43.5,44.0,43.5
kpi_video_synchronization,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
av_delay_send,313.5,293.5,302.5,296.0,305.5,305.5,311.0,314.0,313.5,323.5,3.0,-20.0,60.5,43.0,-32.5,-36.5,-12.5,-34.5,-34.0,-32.5
kpi_av_synchronization,1,1,1,1,1,1,1,1,1,1,5,5,3.76,5,5,5,5,5,5,5
kpi_resolution_stability,4.303535113616246,4.303535113616246,4.303535113616246,4.303535113616246,4.303535113616246,4.303535113616246,4.303535113616246,4.303535113616246,4.303535113616246,4.303535113616246,4.303535113616246,4.303535113616246,4.303535113616246,4.303535113616246,4.303535113616246,4.303535113616246,4.303535113616246,4.303535113616246,4.303535113616246,4.303535113616246
max_resolution_percentage,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
kpi_resolution_stability_norm,4.303535113616246,4.303535113616246,4.303535113616246,4.303535113616246,4.303535113616246,4.303535113616246,4.303535113616246,4.303535113616246,4.303535113616246,4.303535113616246,4.303535113616246,4.303535113616246,4.303535113616246,4.303535113616246,4.303535113616246,4.303535113616246,4.303535113616246,4.303535113616246,4.303535113616246,4.303535113616246
max_resolution_percentage_norm,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
kpi_fps_stability,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
kpi_q_audio,1,3,4,3,3,3,2,2,2,2,5,5,5,5,5,5,5,5,5,5
kpi_q_video,3.507857142857143,3.4614285714285713,3.5264285714285712,3.4614285714285713,3.545,3.4707142857142856,3.48,3.4057142857142857,3.4242857142857144,3.4614285714285713,3.5542857142857143,3.5264285714285712,3.4707142857142856,3.5264285714285712,3.4892857142857143,3.4707142857142856,3.507857142857143,3.387142857142857,3.4057142857142857
qoe_simple_normal,3.462519526055859,3.4692655650049296,3.473639038527438,3.4678387143001963,3.4752854926639443,3.4629045402829917,3.460078404587341,3.4454957165320503,4.010914628138696,4.027516562846396,3.880756516370774,4.010283585709622,4.023562880460317,4.017565393529447,4.013336711731639,4.020636603521154,4.000469417751365
qoe_simple_smooth,3.7138290498653834,3.712836993576358,3.7280438004322,3.711410142871625,3.7327854926639437,3.708023587902039,3.706745071254008,3.6797814308177643,4.2544860567101255,4.286564181894015,4.135161278275536,4.25540263332867,4.27796764236508,4.265779679243733,4.258455759350686,4.271946127330677,4.231659893941841
