video_recv_bitsReceivedPerSecond,0.0,144592.32827832294,132420.80924855493,152328.0,151080.0,182776.0,172720.0,192472.0,168096.0,152032.0,163528.0,151264.0,119456.0,114080.0,111800.0,115632.0,109432.0,137376.0,129104.0,121880.0,151080.0,134864.0,96416.0,89296.0,81504.0
video_recv_packetsReceivedPerSecond,0.0,59.76806422836753,60.115606936416185,60.0,60.0,60.0,60.0,59.0,62.0,59.0,55.0,63.0,60.0,59.0,60.0,50.0,60.0,60.0,61.0,59.0,60.0,49.0,53.0,60.0,59.0
video_recv_googCurrentDelayMs,56.0,54.0,52.0,50.0,48.0,45.0,43.0,43.0,40.0,38.0,38.0,36.0,34.0,33.0,31.0,30.0,29.0,28.0,26.0,25.0,24.0,23.0,22.0,25.0,24.0
video_recv_googDecodeMs,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
video_recv_googFrameHeightReceived,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0
video_recv_googFrameRateOutput,60.0,61.0,60.0,60.0,60.0,60.0,60.0,58.0,60.0,61.0,55.0,59.0,59.0,60.0,60.0,51.0,60.0,60.0,61.0,60.0,60.0,50.0,54.0,58.0,59.0
video_recv_googFrameRateReceived,59.0,60.0,60.0,59.0,60.0,60.0,60.0,55.0,62.0,59.0,55.0,63.0,60.0,59.0,59.0,50.0,60.0,56.0,61.0,58.0,60.0,49.0,52.0,60.0,59.0
video_recv_googFrameWidthReceived,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0
video_recv_googInterframeDelayMax,19.0,18.0,18.0,18.0,18.0,20.0,20.0,63.0,29.0,20.0,101.0,33.0,34.0,34.0,18.0,49.0,18.0,34.0,18.0,18.0,18.0,63.0,51.0,126.0,33.0
video_recv_googJitterBufferMs,45.0,43.0,41.0,39.0,37.0,34.0,32.0,32.0,29.0,27.0,27.0,25.0,23.0,22.0,20.0,19.0,18.0,17.0,15.0,14.0,13.0,12.0,11.0,14.0,13.0
video_recv_googPlisSent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
video_send_resolutionChangesSent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
video_recv_resolutionChangesReceived,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_way_delay_audio_send,1284.0,1284.0,1284.0,1284.0,3359.5,3359.5,3359.5,3359.5,3359.5,3359.5,3359.5,1175.5,1175.5,1175.5,1175.5,1175.5,1175.5,1175.5,244.0,244.0,244.0,244.0,244.0,244.0,244.0
1_way_delay_video_send,1876.5,2208.5,2441.0,2604.0,2911.5,3277.0,3538.0,3500.5,3080.0,2746.0,2370.0,2055.0,1803.5,1581.0,1382.0,1161.0,924.5,774.5,584.0,441.5,319.0,225.5,160.0,114.0,104.5
ear_ear_delay_audio_send,1287.0,1287.0,1287.0,1287.0,3363.5,3359.5,3366.5,3360.5,3366.5,3366.5,3361.5,1188.5,1175.5,1176.5,1178.5,1175.5,1181.5,1223.5,283.0,254.0,248.0,247.0,250.0,244.0,248.0
audio_recv_kbitsReceivedPerSecond,0,10,4,7,7,7,7,7,7,7,7,7,6,6,7,7,7,7,7,6,7,7,6,7,7
video_recv_kbitsReceivedPerSecond,0,141,129,148,147,178,168,187,164,148,159,147,116,111,109,112,106,134,126,119,147,131,94,87,79
audio_packet_loss_percentage_send,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e_model_audio_send,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.781,79.667,80.471,80.605,80.203,81.007
kpi_audio_synchronization,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.855079508088213,4.01135076064226,4.041678837630224,4.046662475884125,4.031650264402011,4.0614895845286
