audio_recv_bitsReceivedPerSecond,0.0,0.0,0.0,0.0,0.0,6208.0,8697.394789579159,11476.523476523476,14051.89620758483,18741.482965931864,26632.0,22422.422422422424,32534.93013972056,34642.64264264264,22280.0,28016.0,29440.0,28744.0,17696.0,18448.0,39176.0,35720.0,39224.0,22662.662662662664,23832.167832167834,30600.0,31632.0,47112.0,45248.0,37125.12512512512,25568.0,27800.0,34208.0,12176.0,16680.0,14608.0,18944.0,13090.90909090909,19611.61161161161,21290.709290709292,18616.0,24103.896103896102,19607.214428857715,20659.340659340658,16680.0,31320.0,38048.0,20628.62862862863,36291.708291708295,28544.0,21856.0,23128.0,20768.0,17704.0,14968.0,18912.0,18789.21078921079,22132.264529058117,28984.0,33150.84915084915,27980.01998001998,23191.191191191192,19203.203203203204,23928.071928071928,25912.0,12684.684684684684,21856.0,34147.704590818365,16553.10621242485,23568.8622754491,19551.102204408817,18733.266733266733,14392.0,14152.0,18426.426426426427,17806.193806193805,18408.0,18592.0,15128.0,9809.809809809809,13652.694610778442,14073.926073926074,17406.156901688184,17129.032258064515,18450.45045045045,19358.41584158416,16129.423660262892
audio_recv_packetsReceivedPerSecond,0.0,0.0,0.0,0.0,0.0,12.0,19.03807615230461,22.977022977022976,28.942115768463072,36.07214428857716,54.0,45.04504504504504,53.89221556886228,53.053053053053056,43.0,53.0,58.0,51.0,52.0,56.0,52.0,45.0,51.0,57.05705705705706,58.94105894105894,38.0,55.0,59.0,56.0,54.054054054054056,47.0,37.0,44.0,34.0,43.0,43.0,45.0,41.95804195804196,42.04204204204204,55.94405594405595,57.0,48.95104895104895,52.104208416833664,42.95704295704296,36.0,69.0,50.0,44.04404404404404,53.946053946053944,60.0,44.0,43.0,51.0,48.0,46.0,44.0,40.95904095904096,44.08817635270541,36.0,39.96003996003996,34.96503496503497,29.02902902902903,37.03703703703704,29.97002997002997,35.0,18.01801801801802,27.0,44.91017964071856,42.08416833667334,54.89021956087824,48.09619238476954,41.95804195804196,38.0,42.0,44.04404404404404,41.95804195804196,44.0,42.0,36.0,30.03003003003003,31.936127744510976,34.96503496503497,39.72194637537239,40.32258064516129,50.050050050050054,48.51485148514851,41.45601617795753
audio_recv_googCurrentDelayMs,0.0,0.0,0.0,0.0,0.0,28.0,66.0,58.0,73.0,142.0,273.0,385.0,383.0,462.0,459.0,459.0,413.0,557.0,506.0,519.0,639.0,516.0,453.0,510.0,630.0,319.0,306.0,445.0,513.0,500.0,515.0,354.0,166.0,118.0,98.0,79.0,91.0,176.0,185.0,223.0,418.0,412.0,278.0,127.0,54.0,225.0,271.0,163.0,123.0,189.0,225.0,138.0,146.0,165.0,115.0,65.0,59.0,68.0,68.0,76.0,83.0,81.0,78.0,73.0,65.0,52.0,80.0,180.0,174.0,262.0,252.0,132.0,60.0,93.0,62.0,71.0,57.0,67.0,62.0,57.0,67.0,56.0,74.0,91.0,90.0,91.0,61.0
audio_recv_googJitterBufferMs,0.0,0.0,0.0,0.0,0.0,22.0,62.0,3.0,60.0,173.0,346.0,288.0,483.0,511.0,336.0,396.0,556.0,533.0,540.0,621.0,627.0,457.0,434.0,550.0,690.0,138.0,300.0,511.0,552.0,550.0,454.0,160.0,66.0,26.0,68.0,66.0,57.0,220.0,103.0,345.0,522.0,377.0,255.0,85.0,2.0,367.0,229.0,74.0,107.0,272.0,155.0,57.0,120.0,120.0,40.0,15.0,25.0,50.0,90.0,30.0,72.0,40.0,35.0,70.0,88.0,11.0,54.0,230.0,205.0,342.0,235.0,53.0,25.0,157.0,43.0,21.0,23.0,62.0,142.0,32.0,17.0,2.0,75.0,140.0,110.0,120.0,64.0
audio_recv_googJitterReceived,0.0,0.0,0.0,0.0,0.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,14.0,14.0,14.0,14.0,14.0,9.0,9.0,9.0,9.0,9.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,16.0,16.0,16.0,16.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,9.0,9.0,9.0,9.0,9.0,9.0,28.0,28.0,28.0,28.0,28.0,28.0,9.0
audio_recv_googPreferredJitterBufferMs,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,60.0,440.0,440.0,440.0,440.0,440.0,440.0,420.0,180.0,260.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,280.0,280.0,280.0,280.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,280.0,200.0,200.0,200.0,200.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,200.0,200.0,200.0,60.0,60.0,60.0,60.0
audio_send_bitsSentPerSecond,0.0,0.0,0.0,0.0,6872.0,25560.0,23967.935871743488,25054.945054945056,24814.37125748503,24633.266533066133,24448.0,24536.536536536536,24111.77644710579,24928.92892892893,24544.0,24560.0,24440.0,24576.0,24064.0,25072.0,24560.0,23784.0,35288.0,40464.464464464465,39664.33566433567,39184.0,39488.0,40504.0,41208.0,39631.63163163163,40392.0,40408.0,32000.0,28936.0,17808.0,25976.0,28472.0,17422.577422577422,19859.85985985986,20643.356643356645,21072.0,32271.728271728272,39975.95190380762,39616.38361638362,40400.0,40400.0,40536.0,35211.21121121121,30881.11888111888,20304.0,20112.0,20208.0,20984.0,21144.0,22128.0,20976.0,20499.5004995005,18853.70741482966,21144.0,20107.89210789211,20587.412587412586,21261.26126126126,20836.836836836836,20619.38061938062,21872.0,20028.028028028028,20496.0,22075.848303393213,20104.208416833666,21948.103792415168,18901.803607214428,20387.61238761239,19912.0,20784.0,20132.132132132134,20171.828171828172,19792.0,19720.0,20168.0,20708.70870870871,21093.8123752495,21330.66933066933,19900.69513406157,20717.74193548387,19131.131131131133,20617.821782178216,19276.03640040445
audio_send_packetsSentPerSecond,0.0,0.0,0.0,0.0,15.0,51.0,49.098196392785574,49.95004995004995,49.9001996007984,50.100200400801604,50.0,50.050050050050054,49.9001996007984,50.050050050050054,50.0,50.0,50.0,50.0,50.0,51.0,50.0,49.0,50.0,50.050050050050054,49.95004995004995,51.0,49.0,50.0,51.0,49.049049049049046,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.94905094905095,50.050050050050054,48.95104895104895,50.0,49.95004995004995,50.100200400801604,49.95004995004995,50.0,50.0,50.0,50.050050050050054,49.95004995004995,50.0,50.0,50.0,50.0,50.0,51.0,50.0,49.95004995004995,49.098196392785574,50.0,49.95004995004995,49.95004995004995,50.050050050050054,50.050050050050054,49.95004995004995,51.0,49.049049049049046,50.0,50.89820359281437,49.098196392785574,50.89820359281437,49.098196392785574,49.95004995004995,50.0,50.0,50.050050050050054,49.95004995004995,50.0,50.0,50.0,50.050050050050054,49.9001996007984,50.94905094905095,49.65243296921549,50.403225806451616,49.049049049049046,50.495049504950494,49.54499494438827
video_recv_bitsReceivedPerSecond,0.0,0.0,0.0,0.0,0.0,154384.0,169466.93386773547,140635.36463536465,172127.74451097805,169474.9498997996,238808.0,215375.37537537538,206698.60279441118,208848.84884884884,176720.0,131696.0,249320.0,192072.0,241456.0,229688.0,246096.0,246592.0,235496.0,236268.26826826826,234861.13886113887,195088.0,213504.0,220560.0,230000.0,237637.63763763764,220008.0,172840.0,211616.0,160944.0,186120.0,216080.0,216504.0,169566.43356643355,205493.4934934935,253402.5974025974,265392.0,260035.96403596405,237122.24448897794,252331.66833166833,192528.0,188448.0,171568.0,181557.55755755756,184199.8001998002,223400.0,165608.0,196016.0,248848.0,260616.0,262568.0,265096.0,261306.6933066933,260296.59318637275,263984.0,249878.1218781219,233078.9210789211,231167.16716716718,257185.1851851852,167776.22377622378,186832.0,103287.28728728728,98304.0,164215.56886227545,174797.59519038076,232670.65868263473,252705.41082164328,142737.26273726273,148536.0,177056.0,191895.8958958959,258565.43456543455,225160.0,219872.0,213736.0,169801.8018018018,181101.79640718564,175424.57542457542,190156.90168818273,174701.61290322582,205277.2772772773,252205.94059405942,156384.22649140545
video_recv_packetsReceivedPerSecond,0.0,0.0,0.0,0.0,0.0,18.0,23.04609218436874,21.978021978021978,23.952095808383234,21.04208416833667,32.0,31.03103103103103,35.92814371257485,31.03103103103103,24.0,17.0,38.0,43.0,50.0,45.0,48.0,71.0,75.0,83.08308308308308,91.9080919080919,66.0,87.0,72.0,67.0,65.06506506506507,58.0,43.0,54.0,41.0,51.0,52.0,54.0,39.96003996003996,49.049049049049046,58.94105894105894,61.0,55.94405594405595,51.102204408817634,59.94005994005994,57.0,88.0,77.0,71.07107107107107,84.91508491508492,95.0,68.0,67.0,79.0,77.0,72.0,68.0,58.94105894105894,61.122244488977955,51.0,49.95004995004995,46.95304695304695,47.047047047047045,55.05505505505506,40.95904095904096,53.0,29.02902902902903,31.0,61.87624750499002,63.12625250501002,78.84231536926147,75.1503006012024,39.96003996003996,55.0,62.0,65.06506506506507,61.938061938061935,58.0,62.0,55.0,46.046046046046044,51.89620758483034,46.95304695304695,49.65243296921549,54.435483870967744,71.07107107107107,76.23762376237623,43.47826086956522
