audio_recv_bitsReceivedPerSecond,0.0,0.0,0.0,7345.995045417011,19856.315179606027,24457.883369330455,29072.0,26416.0,27840.0,24864.0,29144.0,31352.0,23312.0,28464.0,16720.0,16720.0,24208.0,20196.196196196197,19664.0,19612.38761238761,18152.0,18112.0,21072.0,18120.0,18704.0,18184.0,11304.0,18917.082917082917,24000.0,16272.0,26161.515453639084,29255.76730190572,18424.0,18098.098098098097,18237.76223776224,17017.017017017017,12099.9000999001,22472.0,17144.0,25024.0,19112.0,18640.0,18648.0,18600.0,18600.0,18624.0,18632.0,18520.0,16592.0,9432.0,24376.0,19120.0,18920.0,20019.98001998002,40392.392392392394,40359.64035964036,40440.44044044044,38024.0,20592.0,13160.0,44027.916251246264,40440.44044044044,40359.64035964036,40359.64035964036,39543.08617234469,34232.0,36075.92407592408,40521.56469408225,40599.01477832512,39871.09768378651,40603.01507537688
audio_recv_packetsReceivedPerSecond,0.0,0.0,0.0,14.037985136251033,41.71494785631518,48.59611231101512,58.0,53.0,56.0,50.0,59.0,61.0,46.0,57.0,50.0,50.0,50.0,50.050050050050054,50.0,49.95004995004995,50.0,50.0,50.0,50.0,50.0,50.0,34.0,50.94905094905095,65.06506506506507,50.0,49.85044865403788,50.150451354062184,50.0,50.050050050050054,49.95004995004995,50.050050050050054,39.96003996003996,60.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,33.0,67.0,50.0,50.0,49.95004995004995,50.050050050050054,49.95004995004995,50.050050050050054,50.0,50.0,32.0,67.79661016949153,50.050050050050054,49.95004995004995,49.95004995004995,50.100200400801604,50.0,49.95004995004995,50.150451354062184,50.24630541871921,49.34541792547835,50.25125628140704
audio_recv_googCurrentDelayMs,0.0,0.0,0.0,16.0,87.0,87.0,135.0,208.0,186.0,244.0,228.0,308.0,303.0,336.0,347.0,330.0,241.0,239.0,230.0,210.0,151.0,121.0,97.0,121.0,135.0,107.0,79.0,104.0,233.0,303.0,286.0,273.0,230.0,191.0,159.0,187.0,116.0,285.0,302.0,311.0,276.0,231.0,196.0,193.0,193.0,193.0,193.0,193.0,193.0,116.0,308.0,358.0,335.0,338.0,272.0,190.0,190.0,190.0,190.0,102.0,283.0,325.0,297.0,262.0,214.0,215.0,215.0,215.0,225.0,225.0,215.0
audio_recv_googJitterBufferMs,0.0,0.0,0.0,26.0,71.0,92.0,220.0,202.0,285.0,223.0,314.0,462.0,306.0,409.0,358.0,320.0,288.0,253.0,220.0,188.0,148.0,112.0,90.0,160.0,127.0,97.0,67.0,77.0,352.0,322.0,290.0,249.0,216.0,186.0,204.0,171.0,151.0,338.0,308.0,276.0,248.0,216.0,188.0,188.0,188.0,188.0,188.0,188.0,188.0,62.0,404.0,372.0,340.0,308.0,235.0,185.0,185.0,185.0,185.0,57.0,396.0,337.0,292.0,242.0,209.0,209.0,209.0,209.0,219.0,199.0,209.0
audio_recv_googJitterReceived,0.0,0.0,0.0,0.0,23.0,23.0,23.0,23.0,23.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,16.0,16.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,10.0,10.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,8.0,8.0,8.0,1.0,1.0,1.0,1.0,1.0,14.0,14.0,14.0,14.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0
audio_recv_googPreferredJitterBufferMs,0.0,0.0,0.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,60.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
audio_send_bitsSentPerSecond,0.0,0.0,0.0,19877.786952931463,24871.378910776362,25321.81425485961,24144.0,24696.0,24688.0,21904.0,16720.0,16720.0,16720.0,16432.0,15624.0,13160.0,17712.0,16736.736736736737,16720.0,15280.71928071928,15864.0,14976.0,15856.0,16728.0,15832.0,15800.0,14992.0,16951.04895104895,13061.06106106106,15992.0,15298.105682951147,15991.975927783351,15968.0,15823.823823823825,15800.1998001998,15799.799799799799,15760.23976023976,15368.0,15368.0,15672.0,16024.0,15872.0,15784.0,15776.0,15744.0,15736.0,15776.0,16112.0,14824.0,13400.0,15592.0,15608.0,15736.0,15720.279720279721,15751.751751751752,15744.255744255745,15991.991991991992,15488.0,14768.0,14816.0,15529.411764705883,15735.735735735736,16607.39260739261,14761.238761238761,15743.486973947896,16072.0,15992.007992007992,15783.350050150451,15668.965517241379,15532.729103726082,14753.768844221106
audio_send_packetsSentPerSecond,0.0,0.0,0.0,40.46242774566474,48.66743916570104,50.75593952483801,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,49.0,51.0,50.050050050050054,50.0,49.95004995004995,50.0,49.0,50.0,51.0,50.0,50.0,49.0,50.94905094905095,49.049049049049046,51.0,49.85044865403788,50.150451354062184,50.0,50.050050050050054,49.95004995004995,50.050050050050054,49.95004995004995,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,49.95004995004995,50.050050050050054,49.95004995004995,50.050050050050054,50.0,50.0,50.0,49.85044865403788,50.050050050050054,50.94905094905095,48.95104895104895,50.100200400801604,50.0,49.95004995004995,50.150451354062184,50.24630541871921,50.35246727089628,49.246231155778894
video_recv_bitsReceivedPerSecond,0.0,0.0,0.0,190896.77952105697,240852.83893395134,231654.42764578832,236168.0,253048.0,258704.0,199896.0,234360.0,245632.0,268736.0,231752.0,211192.0,209584.0,192920.0,164652.65265265264,129168.0,152135.86413586413,147360.0,157752.0,167240.0,135960.0,127928.0,148736.0,104592.0,110697.3026973027,129369.36936936936,104864.0,110995.0149551346,113315.9478435306,128352.0,130522.52252252253,133698.3016983017,122290.29029029029,105046.95304695304,93000.0,79904.0,90792.0,99240.0,103880.0,118960.0,119272.0,131432.0,147616.0,153920.0,165128.0,157320.0,128696.0,183512.0,141576.0,134056.0,130349.65034965034,143711.71171171172,157338.66133866133,167591.5915915916,177928.0,167488.0,125552.0,176127.61714855433,141213.21321321322,132715.2847152847,131068.93106893107,144625.250501002,161328.0,169678.3216783217,182812.43731193582,167905.41871921183,210126.88821752265,223694.47236180905
video_recv_packetsReceivedPerSecond,0.0,0.0,0.0,25.59867877786953,31.286210892236383,32.39740820734341,31.0,31.0,41.0,27.0,32.0,37.0,44.0,49.0,47.0,49.0,38.0,40.04004004004004,51.0,59.94005994005994,60.0,60.0,63.0,60.0,60.0,60.0,41.0,49.95004995004995,77.07707707707708,60.0,59.82053838484546,60.18054162487462,60.0,60.06006006006006,59.94005994005994,60.06006006006006,47.952047952047955,57.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,40.0,80.0,60.0,61.0,59.94005994005994,60.06006006006006,59.94005994005994,60.06006006006006,60.0,61.0,39.0,80.75772681954138,60.06006006006006,60.93906093906094,59.94005994005994,60.120240480961925,60.0,59.94005994005994,60.18054162487462,61.083743842364534,59.4159113796576,60.301507537688444
