video_recv_bitsReceivedPerSecond,960773.1367731368,1066743.4554973822,1034768.0,978672.0,1035274.9003984063,994326.9809428285,977888.0,1017880.0,880008.0,905571.5695952616
video_recv_packetsReceivedPerSecond,129.4021294021294,143.97905759162305,134.0,127.0,133.46613545816734,129.38816449348045,127.0,130.0,119.0,122.40868706811452
video_recv_googCurrentDelayMs,60.0,59.0,59.0,59.0,57.0,55.0,53.0,52.0,50.0,48.0
video_recv_googDecodeMs,3.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0
video_recv_googFrameHeightReceived,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0
video_recv_googFrameRateOutput,59.0,60.0,60.0,60.0,60.0,60.0,60.0,61.0,60.0,61.0
video_recv_googFrameRateReceived,59.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
video_recv_googFrameWidthReceived,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0
video_recv_googInterframeDelayMax,33.0,18.0,18.0,18.0,19.0,18.0,19.0,23.0,18.0,29.0
video_recv_googJitterBufferMs,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0
video_recv_googPlisSent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
video_send_resolutionChangesSent,0,0,0,0,0,0,0,0,0,0
video_recv_resolutionChangesReceived,0,0,0,0,0,0,0,0,0,0
1_way_delay_audio_send,7.5,7.5,7.5,7.5,7.5,7.5,7.5,8.0,8.0,8.0
1_way_delay_video_send,9.5,9.5,9.0,8.5,8.0,8.0,8.0,7.5,8.0,7.5
ear_ear_delay_audio_send,48.5,26.5,106.5,88.5,12.5,8.5,31.5,9.0,10.0,11.0
audio_recv_kbitsReceivedPerSecond,41,39,41,40,40,41,41,41,41,41
video_recv_kbitsReceivedPerSecond,938,1041,1010,955,1011,971,954,994,859,884
audio_packet_loss_percentage_send,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e_model_audio_send,93.036,93.56400000000001,91.644,92.07600000000001,93.9,93.99600000000001,93.444,93.98400000000001,93.96000000000001
kpi_audio_synchronization,4.406088796105408,4.416220494188992,4.377165790194112,4.386480842815169,4.422423067,4.424159970336449,4.413958977013312,4.423943717404673,4.423510474048
eye_eye_delay_video_send,45.5,46.5,46.0,45.5,45.0,45.0,44.0,43.5,44.0,43.5
kpi_video_synchronization,5,5,5,5,5,5,5,5,5,5
av_delay_send,3.0,-20.0,60.5,43.0,-32.5,-36.5,-12.5,-34.5,-34.0,-32.5
kpi_av_synchronization,5,5,3.76,5,5,5,5,5,5,5
