audio_send_packetsLost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
audio_send_packetsSentPerSecond,50.0,50.0,50.0,50.0,50.0,50.0,49.6031746031746,50.403225806451616,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,50.847457627118644,49.59514170040486,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,49.95004995004995,49.95004995004995
audio_send_googJitterReceived,3.0,3.0,3.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0,2.0,2.0,7.0,7.0,7.0,7.0,7.0,14.0,14.0,14.0,14.0,14.0,14.0,2.0,14.0,14.0,14.0,14.0,14.0,25.0,25.0,25.0,25.0,25.0,25.0,39.0,39.0,39.0,66.0,66.0,66.0,66.0,66.0,2.0,2.0,2.0,2.0,2.0
audio_send_googRtt,30.0,30.0,30.0,31.0,31.0,31.0,31.0,30.0,30.0,30.0,30.0,30.0,44.0,44.0,44.0,44.0,44.0,31.0,31.0,31.0,31.0,31.0,31.0,73.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
video_send_bitsSentPerSecond,120272.0,150528.0,161032.0,176464.0,200736.0,196296.0,201206.3492063492,215137.09677419355,220136.0,139448.0,134280.0,156032.0,162472.0,174568.0,203120.0,190432.0,198712.0,213000.0,204464.0,140440.0,134128.0,158632.0,139088.0,114808.0,0.0,173144.5663010967,140704.45344129554,115232.0,140152.0,153432.0,178448.0,175008.0,211944.0,172376.0,134352.0,108016.0,94008.0,92088.0,91480.0,110544.0,138088.0,129536.0,156728.0,161072.0,170080.0,164448.0,116915.08491508491,107820.17982017982
video_send_packetsLost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
video_send_packetsSentPerSecond,60.0,60.0,60.0,60.0,61.0,60.0,59.523809523809526,61.49193548387097,61.0,60.0,60.0,60.0,60.0,60.0,62.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,48.0,0.0,50.847457627118644,59.716599190283404,60.0,60.0,60.0,60.0,60.0,61.0,60.0,60.0,30.0,30.0,46.0,60.0,60.0,60.0,60.0,61.0,60.0,60.0,50.0,47.952047952047955,55.94405594405595
video_send_googEncodeUsagePercent,15.0,14.0,13.0,12.0,12.0,11.0,11.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,15.0,15.0,14.0,13.0,13.0,12.0,11.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
video_send_googFrameHeightSent,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0
video_send_googFrameRateSent,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,48.0,60.0,51.0,60.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,31.0,31.0,47.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,51.0,48.0,57.0
